"","district","name","party","hpvi","rpvi","ave","pres","gov","abs","chamber","hpvi_color"
"1","01","Mark Johnson","R","R+10",-10.036247805977,0.39963752194023,0.319014422398465,0.480260621481996,10.036247805977,"Senate","0"
"2","02","Paul J. Utke","R","R+10",-9.92526573420825,0.400747342657917,0.337047205266946,0.464447480048889,9.92526573420825,"Senate","0"
"3","03","Thomas M. Bakk","DFL","D+6",5.70325974097287,0.557032597409729,0.50331958078437,0.610745614035088,5.70325974097287,"Senate","1"
"4","04","Kent Eken","DFL","EVEN",0.221104201528222,0.502211042015282,0.457702485200644,0.546719598829921,0.221104201528222,"Senate","1"
"5","05","Justin D. Eichorn","R","R+3",-2.84001644749698,0.47159983552503,0.408446988682829,0.534752682367231,2.84001644749698,"Senate","0"
"6","06","David J. Tomassoni","DFL","D+7",6.92770172665816,0.569277017266582,0.484177859177859,0.654376175355304,6.92770172665816,"Senate","1"
"7","07","Erik Simonson","DFL","D+19",18.5421589634046,0.685421589634046,0.667119291892979,0.703723887375113,18.5421589634046,"Senate","1"
"8","08","Bill Ingebrigtsen","R","R+14",-13.7388488389067,0.362611511610933,0.313348868959348,0.411874154262517,13.7388488389067,"Senate","0"
"9","09","Paul E. Gazelka","R","R+18",-17.7817175129884,0.322182824870116,0.238004090408516,0.406361559331715,17.7817175129884,"Senate","0"
"10","10","Carrie Ruud","R","R+10",-10.1077378243656,0.398922621756344,0.336744674252725,0.461100569259962,10.1077378243656,"Senate","0"
"11","11","Tony Lourey","DFL","EVEN",-0.347527022551097,0.496524729774489,0.427885554780181,0.565163904768797,0.347527022551097,"Senate","0"
"12","12","Torrey N. Westrom","R","R+12",-12.3350031367851,0.376649968632149,0.304057614614439,0.449242322649859,12.3350031367851,"Senate","0"
"13","13","Michelle L. Fischbach","R","R+13",-12.8524285814646,0.371475714185354,0.317225101588924,0.425726326781785,12.8524285814646,"Senate","0"
"14","14","Jerry Relph","R","R+2",-1.66286235829896,0.48337137641701,0.457074244546728,0.509668508287293,1.66286235829896,"Senate","0"
"15","15","Andrew Mathews","R","R+17",-17.2922823247013,0.327077176752987,0.258357439315809,0.395796914190165,17.2922823247013,"Senate","0"
"16","16","Gary H. Dahms","R","R+12",-11.9426038992683,0.380573961007317,0.315592492707359,0.445555429307276,11.9426038992683,"Senate","0"
"17","17","Andrew R. Lang","R","R+8",-7.88180422288963,0.421181957771104,0.348914133882819,0.493449781659389,7.88180422288963,"Senate","0"
"18","18","Scott J.  Newman","R","R+16",-15.5432542239286,0.344567457760714,0.283127703893607,0.406007211627821,15.5432542239286,"Senate","0"
"19","19","Nick A. Frentz","DFL","D+4",3.65350900143599,0.53653509001436,0.508757121755645,0.564313058273075,3.65350900143599,"Senate","1"
"20","20","Rich Draheim","R","R+5",-4.66769604976226,0.453323039502377,0.41675362178165,0.489892457223105,4.66769604976226,"Senate","0"
"21","21","Michael P. Goggin","R","R+8",-7.57643332302593,0.424235666769741,0.387687019813991,0.46078431372549,7.57643332302593,"Senate","0"
"22","22","Bill Weber","R","R+13",-12.7798245442171,0.372201754557829,0.30631687360531,0.438086635510348,12.7798245442171,"Senate","0"
"23","23","Julie A. Rosen","R","R+12",-11.5915576148162,0.384084423851838,0.32113832041413,0.447030527289547,11.5915576148162,"Senate","0"
